,tourney_year,tourney_order,tourney_name,tourney_id,tourney_slug,tourney_location,tourney_dates,tourney_month,tourney_day,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,tourney_fin_commit,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id,doubles_winner_1_name,doubles_winner_1_url,doubles_winner_1_player_slug,doubles_winner_1_player_id,doubles_winner_2_name,doubles_winner_2_url,doubles_winner_2_player_slug,doubles_winner_2_player_id,tourney_year_id
2142,1991,1,Adelaide,7308.0,adelaide,Adelaide,1990.12.31,12.0,31.0,32,32,Outdoor,Hard,"$175,000",/en/scores/archive/adelaide/7308/1991/results,Nicklas Kulti,/en/players/nicklas-kulti/k181/overview,nicklas-kulti,k181,Wayne Ferreira,/en/players/wayne-ferreira/f196/overview,wayne-ferreira,f196,Stefan Kruger,/en/players/stefan-kruger/k028/overview,stefan-kruger,k028,1991-7308.0
2143,1991,2,Wellington,354.0,wellington,Wellington,1990.12.31,12.0,31.0,32,32,Outdoor,Hard,"$175,000",/en/scores/archive/wellington/354/1991/results,Richard Fromberg,/en/players/richard-fromberg/f164/overview,richard-fromberg,f164,Luiz Mattar,/en/players/luiz-mattar/m035/overview,luiz-mattar,m035,Nicolas Pereira,/en/players/nicolas-pereira/p218/overview,nicolas-pereira,p218,1991-354.0
2144,1991,3,Auckland,301.0,auckland,Auckland,1991.01.07,1.0,7.0,32,32,Outdoor,Hard,"$175,000",/en/scores/archive/auckland/301/1991/results,Karel Novacek,/en/players/karel-novacek/n025/overview,karel-novacek,n025,Sergio Casal,/en/players/sergio-casal/c024/overview,sergio-casal,c024,Emilio Sanchez,/en/players/emilio-sanchez/s014/overview,emilio-sanchez,s014,1991-301.0
2145,1991,4,Sydney Outdoor,338.0,sydney,Sydney,1991.01.07,1.0,7.0,32,32,Outdoor,Hard,"$250,000",/en/scores/archive/sydney/338/1991/results,Guy Forget,/en/players/guy-forget/f035/overview,guy-forget,f035,Scott Davis,/en/players/scott-davis/d004/overview,scott-davis,d004,David Pate,/en/players/david-pate/p012/overview,david-pate,p012,1991-338.0
2146,1991,5,Australian Open,580.0,australian-open,Melbourne,1991.01.14,1.0,14.0,128,128,Outdoor,Hard,,/en/scores/archive/australian-open/580/1991/results,Boris Becker,/en/players/boris-becker/b028/overview,boris-becker,b028,Scott Davis,/en/players/scott-davis/d004/overview,scott-davis,d004,David Pate,/en/players/david-pate/p012/overview,david-pate,p012,1991-580.0
2147,1991,6,Guaruja,201.0,maceio,Guaruja,1991.02.04,2.0,4.0,32,32,Outdoor,Hard,"$150,000",/en/scores/archive/maceio/201/1991/results,Patrick Baur,/en/players/patrick-baur/b293/overview,patrick-baur,b293,Olivier Delaitre,/en/players/olivier-delaitre/d015/overview,olivier-delaitre,d015,Rodolphe Gilbert,/en/players/rodolphe-gilbert/g108/overview,rodolphe-gilbert,g108,1991-201.0
2148,1991,7,Milan,408.0,milan,Milan,1991.02.04,2.0,4.0,32,32,Indoor,Carpet,"$600,000",/en/scores/archive/milan/408/1991/results,Alexander Volkov,/en/players/alexander-volkov/v037/overview,alexander-volkov,v037,Omar Camporese,/en/players/omar-camporese/c009/overview,omar-camporese,c009,Goran Ivanisevic,/en/players/goran-ivanisevic/i034/overview,goran-ivanisevic,i034,1991-408.0
2149,1991,8,San Francisco,424.0,san-jose,San Francisco,1991.02.04,2.0,4.0,32,32,Indoor,Carpet,"$250,000",/en/scores/archive/san-jose/424/1991/results,Darren Cahill,/en/players/darren-cahill/c001/overview,darren-cahill,c001,Wally Masur,/en/players/wally-masur/m030/overview,wally-masur,m030,Jason Stoltenberg,/en/players/jason-stoltenberg/s331/overview,jason-stoltenberg,s331,1991-424.0
2150,1991,9,Brussels,406.0,brussels,Brussels,1991.02.11,2.0,11.0,32,32,Indoor,Carpet,"$600,000",/en/scores/archive/brussels/406/1991/results,Guy Forget,/en/players/guy-forget/f035/overview,guy-forget,f035,Mark Woodforde,/en/players/mark-woodforde/w035/overview,mark-woodforde,w035,Todd Woodbridge,/en/players/todd-woodbridge/w136/overview,todd-woodbridge,w136,1991-406.0
2151,1991,10,Philadelphia,401.0,philadelphia,Philadelphia,1991.02.11,2.0,11.0,48,48,Indoor,Carpet,"$1,000,000",/en/scores/archive/philadelphia/401/1991/results,Ivan Lendl,/en/players/ivan-lendl/l018/overview,ivan-lendl,l018,Rick Leach,/en/players/rick-leach/l013/overview,rick-leach,l013,Jim Pugh,/en/players/jim-pugh/p052/overview,jim-pugh,p052,1991-401.0
